"jsonNum","sloc","readability","mcCabe","revisionNumber"
"1","2","0.9393191337585449","1","1"
"10","28","0.6147414445877075","5","1"
"100","2","0.9393191337585449","1","1"
"1000","3","0.7833015322685242","1","3"
"1001","8","6.718705408275127E-4","2","12"
"1002","3","0.0659121498465538","1","5"
"1003","3","1.0843805648619309E-4","1","4"
"1004","3","1.0843805648619309E-4","1","2"
"1005","3","0.908491849899292","1","2"
"1006","4","0.9133686423301697","1","3"
"1007","5","0.12352277338504791","2","4"
"1008","6","0.8826557993888855","2","4"
"1009","3","0.9378116130828857","1","3"
"101","2","0.9393191337585449","1","1"
"1010","3","0.9636219143867493","1","4"
"1011","3","0.8237020969390869","1","6"
"1012","3","0.1063634604215622","1","1"
"1013","3","0.7833015322685242","1","3"
"1014","13","0.02727106399834156","3","11"
"1015","13","0.08196242153644562","4","2"
"1016","3","0.959961473941803","1","4"
"1017","3","0.945229172706604","1","3"
"1018","7","0.6405280232429504","1","9"
"1019","4","0.0141602186486125","1","3"
"102","2","0.9393191337585449","1","1"
"1020","3","0.8992273211479187","1","5"
"1021","3","0.7833015322685242","1","3"
"1022","3","0.7833015322685242","1","3"
"1023","2","0.9393191337585449","1","4"
"1024","34","0.0","7","26"
"1025","15","0.0022137509658932686","4","5"
"1026","3","0.0","1","5"
"1027","3","0.0","1","3"
"1028","3","0.91133052110672","1","3"
"1029","3","1.1487452866276726E-4","1","4"
"103","2","0.9393191337585449","1","1"
"1030","3","0.0","1","3"
"1031","3","0.8903957009315491","1","3"
"1032","3","0.837993860244751","1","1"
"1033","3","0.0","1","4"
"1034","3","0.0","1","3"
"1035","3","0.0","1","3"
"1036","8","0.35120606422424316","1","2"
"1037","20","0.00218773540109396","12","5"
"1038","20","0.001548831001855433","12","5"
"1039","9","0.018364790827035904","2","1"
"104","2","0.9393191337585449","1","1"
"1040","9","0.3981153070926666","2","2"
"1041","14","0.011203670874238014","4","3"
"1042","12","0.014308308251202106","3","1"
"1043","9","0.035306792706251144","2","1"
"1044","7","0.051219478249549866","2","2"
"1045","3","0.8950071930885315","1","5"
"1046","4","0.7921489477157593","1","2"
"1047","4","0.807191789150238","1","2"
"1048","3","0.8950071930885315","1","5"
"1049","13","0.15418373048305511","4","1"
"105","11","0.8037194013595581","1","1"
"1050","10","0.4868902862071991","2","1"
"1051","9","0.1379028558731079","3","1"
"1052","6","0.5742418766021729","2","1"
"1053","4","0.9095799922943115","1","1"
"1054","9","0.6570525169372559","2","1"
"1055","3","0.9276502728462219","1","1"
"1056","3","0.9142498970031738","1","1"
"1057","3","0.0","1","2"
"1058","3","0.919020414352417","1","3"
"1059","3","0.0","1","1"
"106","17","0.5109606385231018","1","1"
"1060","3","0.9606133103370667","1","3"
"1061","20","0.006126849912106991","10","6"
"1062","3","0.016766423359513283","1","3"
"1063","3","0.4630853235721588","1","1"
"1064","12","0.3565424084663391","5","3"
"1065","4","0.5866661071777344","1","5"
